source,source_package,source_subpackage,source_module,Type,Class,Description,Layer,Package,Subpackage,Sub2Package,Module,Status,from,to
application,task,data_prep,metrics,StageConfig,CategoryMetricsConfig,,domain,services,metrics,,category,Ready,,
application,task,data_prep,metrics,Task,CategoryMetricsTask,,domain,services,metrics,,category,Ready,,
application,task,data_prep,metrics,StageConfig,CategoryAuthorMetricsConfig,,domain,services,metrics,,category_author,Ready,,
application,task,data_prep,metrics,Task,CategoryAuthorMetricsTask,,domain,services,metrics,,category_author,Ready,,
application,task,data_prep,metrics,PipelineBuilder,MetricsPipelineBuilder,,domain,services,metrics,,pipeline,Ready,,
callbacks,,,callback,,Callback,,domain,services,sentiment_analysis,,callback,Ready,,
callbacks,,,callback,Callback,CallbackList,,domain,services,sentiment_analysis,,callback,Ready,,
callbacks,,,callback,Callback,EarlyStop,,domain,services,sentiment_analysis,,callback,Ready,,
callbacks,,,callback,Callback,SessionStats,,domain,services,sentiment_analysis,,callback,Ready,,
analysis,,,sentiment,,SentimentClassifierSelfTrained,,domain,services,sentiment_analysis,,classifier,Ready,,
analysis,,,config,DataClass,SentimentClassifierDataManageConfig,,domain,services,sentiment_analysis,,config,Ready,,
analysis,,,config,DataClass,SentimentClassifierFineTuningConfig,,domain,services,sentiment_analysis,,config,Ready,,
analysis,,,config,DataClass,SentimentClassifierTrainingConfig,,domain,services,sentiment_analysis,,config,Ready,,
analysis,,,data,Analysis,SentimentClassifierDataManager,,domain,services,sentiment_analysis,,data,Ready,,
utils,,,io,Reader,PandasPandasReader,,infra,fileio,pandas,,reader,Ready,,
utils,,,io,Writer,PandasPandasWriter,,infra,fileio,pandas,,writer,Ready,,
utils,,,io,Reader,PySparkReader,,infra,fileio,pyspark,,reader,Ready,,
utils,,,io,Writer,PySparkWriter,,infra,fileio,pyspark,,writer,Ready,,
shared,recovery,,base,ABC,Recovery,,infra,backup,recovery,,base,Ready,,
shared,recovery,,database,Recovery,DBRecovery,,infra,backup,recovery,,database,Ready,,
shared,recovery,,file,Recovery,FileRecovery,,infra,backup,recovery,,file,Ready,,
shared,frameworks,spark,factory,,SparkSessionFactory,,infra,frameworks,spark,,factor,Ready,,
shared,frameworks,spark,manager,,SparkSessionManager,,infra,frameworks,spark,,manager,Ready,,
utils,,,base,ABC,Reader,,infra,fileio,,,base,Ready,,
utils,,,base,ABC,Writer,,infra,fileio,,,base,Ready,,
utils,,,cast,,CastPandas,,infra,data,,,cast,Ready,,
utils,,,cast,,CastPySpark,,infra,data,,,cast,Ready,,
shared,persist,file,compression,,TarGzHandler,,infra,file_setup,,,compression,Ready,,
shared,,config,config,,Config,,infra,config,,,config,Ready,,
shared,,dependency,container,,DiscoverContainer,,infra,dependency,,,container,Ready,,
shared,,dependency,container,,DatabaseContainer,,infra,dependency,,,container,Ready,,
shared,,dependency,container,,LoggingContainer,,infra,dependency,,,container,Ready,,
utils,,,base,ABC,Converter,,infra,utils,,,converter,Ready,,
application,task,data_prep,io,Task,ConvertTask,Converts dataframes to Pandas or Spark,infra,data,,,converter,Ready,,
utils,,,convert,Converter,ToPandas,,infra,data,,,converter,Ready,,
utils,,,convert,Converter,ToSpark,,infra,data,,,converter,Ready,,
shared,persist,database,setup,Task,CreateDatabasesTask,,infra,data_management,,,database,Ready,,
application,task,data_prep,setup,Task,CreateDatasetTask,,infra,data_management,,,dataset,Ready,,
shared,utils,,datetime,,convert_seconds_to_hms,,infra,utils,,,date,Ready,,
shared,logging,,logging,Decorator,log_exceptions,,infra,logging,,,decorator,Ready,,
setup,,file,download,Task,DownloadFileTask,,infra,fileio,,,download,Ready,,
setup,,file,extract,Task,ExtractFileTask,,infra,fileio,,,extract,Ready,,
shared,utils,,files,,check_files_start_with,,infra,utils,,,file,Ready,,
utils,,,format,,format_numerics,,infra,utils,,,format,Ready,,
utils,,,jbook,,JupyterBookManager,,infra,jbook,,,manager,Ready,,
setup,,file,pipeline,function,create_file_setup_pipeline,,infra,file_setup,,,pipeline,Ready,,
setup,,file,config,DataClass,FileSetupPipelineConfig,,infra,file_setup,,,pipeline,Ready,,
utils,,,print,,Printer,,infra,utils,,,print,Ready,,
application,task,data_prep,io,Task,ReadTask,Responsible for Reading data from files,infra,fileio,,,reader,Ready,,
utils,,,repo,Repo,ReviewRepo,,infra,repo,,,review,Ready,,
setup,,file,sample,Task,SampleFileTask,,infra,data_prep,,,sample,Ready,,
utils,,,tempfile,,TimeFileMgr,,infra,fileio,,,tempfile,Ready,,
utils,,,version,,Version,,infra,version,,,version,Ready,,
application,task,data_prep,io,Task,WriteTask,Responsible for writing data to files,infra,fileio,,,writer,Ready,,
